日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093623,11141.695E,4047.719N,1057,0.000
20171005,093624,11141.695E,4047.719N,1057,0.000
20171005,093625,11141.695E,4047.719N,1057,0.000
20171005,093626,11141.695E,4047.719N,1057,0.000
20171005,093627,11141.695E,4047.719N,1057,0.000
20171005,093628,11141.695E,4047.719N,1057,0.000
20171005,093629,11141.695E,4047.719N,1057,0.000
20171005,093630,11141.695E,4047.719N,1057,0.000
20171005,093631,11141.695E,4047.719N,1057,0.000
20171005,093632,11141.695E,4047.719N,1057,0.000
20171005,093633,11141.695E,4047.719N,1057,0.000
20171005,093634,11141.695E,4047.719N,1057,0.000
20171005,093635,11141.695E,4047.719N,1057,0.000
20171005,093636,11141.695E,4047.719N,1057,0.000
20171005,093637,11141.695E,4047.719N,1057,0.000
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093638,11141.695E,4047.719N,1057,0.000
20171005,093639,11141.695E,4047.719N,1057,0.000
20171005,093640,11141.695E,4047.719N,1057,0.000
20171005,093641,11141.695E,4047.719N,1057,0.000
20171005,093642,11141.695E,4047.719N,1057,0.000
20171005,093643,11141.695E,4047.719N,1057,0.000
20171005,093644,11141.695E,4047.719N,1057,0.000
20171005,093645,11141.695E,4047.719N,1057,0.000
20171005,093646,11141.695E,4047.719N,1057,0.000
20171005,093647,11141.695E,4047.719N,1057,0.000
20171005,093648,11141.695E,4047.719N,1057,0.000
20171005,093649,11141.695E,4047.719N,1057,0.000
20171005,093650,11141.695E,4047.719N,1057,0.000
20171005,093651,11141.695E,4047.719N,1057,0.000
20171005,093652,11141.695E,4047.719N,1057,0.000
20171005,093653,11141.695E,4047.719N,1057,0.000
20171005,093654,11141.695E,4047.719N,1057,0.000
20171005,093655,11141.695E,4047.719N,1057,0.000
20171005,093656,11141.695E,4047.719N,1057,0.000
20171005,093657,11141.695E,4047.719N,1057,0.000
20171005,093658,11141.695E,4047.719N,1057,0.000
20171005,093659,11141.695E,4047.719N,1057,0.000
20171005,093700,11141.695E,4047.719N,1057,0.000
20171005,093701,11141.695E,4047.719N,1057,0.000
20171005,093702,11141.695E,4047.719N,1057,0.000
20171005,093703,11141.695E,4047.719N,1057,0.000
20171005,093704,11141.695E,4047.719N,1057,0.000
20171005,093705,11141.691E,4047.722N,1053,6.482
20171005,093706,11141.690E,4047.724N,1053,14.446
20171005,093707,11141.688E,4047.726N,1054,20.372
20171005,093708,11141.687E,4047.730N,1054,24.076
20171005,093709,11141.685E,4047.733N,1054,27.410
20171005,093710,11141.682E,4047.737N,1054,29.447
20171005,093711,11141.680E,4047.742N,1054,29.632
20171005,093712,11141.678E,4047.746N,1054,30.002
20171005,093713,11141.676E,4047.750N,1055,32.966
20171005,093714,11141.673E,4047.755N,1055,33.521
20171005,093715,11141.670E,4047.760N,1056,36.299
20171005,093716,11141.668E,4047.765N,1056,37.596
20171005,093717,11141.665E,4047.770N,1056,37.225
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093718,11141.663E,4047.776N,1056,37.040
20171005,093719,11141.660E,4047.781N,1057,38.522
20171005,093720,11141.658E,4047.787N,1057,40.374
20171005,093721,11141.656E,4047.793N,1057,42.411
20171005,093722,11141.653E,4047.800N,1058,43.522
20171005,093723,11141.650E,4047.806N,1059,44.078
20171005,093724,11141.648E,4047.813N,1059,42.781
